,Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
6651,s6652,TV Show,"Drugs, Inc.","Raúl Campos, Jan Suter",Mike Secher,United States,"March 23, 2019",2015,TV-MA,1 Season,"Crime TV Shows, Docuseries","This Absorbing Documentary Series Follows The Entire Supply Chain Of The Illicit Drug Trade, Tracing Its Production, Export, Sale And Consumption."
6652,s6653,TV Show,Dueños del paraíso,"Raúl Campos, Jan Suter","Kate del Castillo, Jorge Zabaleta, José María Torre, Tony Dalton, Géraldine Bazán, Ximena Duque, Adriana Barraza, Juan Pablo Llano, Daniela Wong, Tiago Correa, Margarita Muñoz, Miguel Varoni, Ariel Texido, María Luisa Flores, Alberto Jiménez, Andrea López, Maxi Iglesias, Jorge Hernández, Alberto Mateo, Sofía Lama","United States, Chile","February 25, 2017",2015,TV-14,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When Anastasia Cardona'S Drug Lord Husband Is Murdered, She Inherits His Cocaine Empire, Leading To A Life Of Wealth, Power, Violence And Betrayal."
6653,s6654,Movie,Dukhtar,Afia Nathaniel,"Samiya Mumtaz, Mohib Mirza, Saleha Aref, Asif Khan, Adnan Shah, Ajab Gul, Abdullah Jan, Samina Ahmad, Omair Rana, Zeeshan Shafa","Pakistan, Norway, United States","September 1, 2016",2014,TV-14,93 min,"Dramas, Independent Movies, International Movies",A Young Mother Embarks On A Desperate Quest For Freedom When She Kidnaps Her 10-Year-Old Daughter To Save Her From A Tribal Marriage.
6654,s6655,Movie,Dum,Eeshwar Nivas,"Vivek Oberoi, Diya Mirza, Atul Kulkarni, Govind Namdeo, Mukesh Rishi, Sushant Singh, Yashpal Sharma, Sheeba",India,"March 1, 2018",2003,TV-14,162 min,"Action & Adventure, Dramas, International Movies","When One Of His Colleagues Becomes Corrupted By Power And Goes Over To The Dark Side, A Young Police Officer Tries To Bring The Offender To Justice."
6655,s6656,Movie,Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,"Eric Christian Olsen, Derek Richardson, Rachel Nichols, Cheri Oteri, Luis Guzmán, Elden Henson, William Lee Scott, Mimi Rogers, Eugene Levy",United States,"October 1, 2019",2003,PG-13,85 min,Comedies,This Wacky Prequel To The 1994 Blockbuster Goes Back To The Lame-Brained Title Characters' Days As Classmates At A Rhode Island High School.
6656,s6657,Movie,E-Cigarettes: Miracle or Menace?,Emma Hatherley,Michael Mosley,United Kingdom,"February 1, 2019",2016,TV-14,52 min,Documentaries,This Documentary Investigates The Surge In Vaping Culture And Whether E-Cigarettes Can Really Help Smokers Kick The Habit.
6657,s6658,Movie,Earth to Echo,Dave Green,"Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt, Jason Gray-Stanford, Algee Smith, Cassius Willis, Sonya Leslie, Kerry O'Malley, Virginia Louise Smith, Peter Mackenzie, Valerie Wildman",United States,"October 1, 2019",2014,PG,91 min,"Children & Family Movies, Sci-Fi & Fantasy","When A Construction Project Begins In Their Neighborhood, Four Friends Start Receiving Bizarre Encoded Text Messages On Their Cell Phones."
6658,s6659,TV Show,Earth to Luna!,"Raúl Campos, Jan Suter","Angelina Carballo, Raul-Gomez Pina, Eric Anderson",Brazil,"April 10, 2020",2014,TV-Y,1 Season,Kids' TV,"Curious About Everything And Excited About Science, 6-Year-Old Luna, Her Brother Jupiter And Pet Clyde Explore Nature To Learn About The World."
6659,s6660,TV Show,Earth's Natural Wonders,"Raúl Campos, Jan Suter",Olivia Colman,United Kingdom,"March 1, 2017",2015,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV",Earth'S Most Sublime Landscapes Can Also Be The Most Forbidding. Discover How Inhabitants Survive And Flourish In Our Planet'S Harshest Environments.
6661,s6662,Movie,East Side Sushi,Anthony Lucero,"Diana Elizabeth Torres, Yutaka Takeuchi, Rodrigo Duarte Clark, Kaya Jade Aguirre, Roji Oyama, Lane Nishikawa, Miyoko Sakatani",United States,"September 15, 2020",2015,PG,106 min,Dramas,"She’S Not The Usual Candidate For The Role, But A Dogged Mexican-American Mother Makes It Her Mission To Become A Talented Sushi Chef."
6662,s6663,Movie,Easy A,Will Gluck,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Lisa Kudrow, Malcolm McDowell, Aly Michalka",United States,"November 1, 2020",2010,PG-13,92 min,"Comedies, Romantic Movies","When A Lie About Olive'S Reputation Transforms Her From Anonymous To Infamous At Her High School, She Decides To Embrace A Provocative New Persona."
6663,s6664,TV Show,Easy Fortune Happy Life,"Raúl Campos, Jan Suter","Lan Cheng-lung, Joe Chen, Roy Chiu, Jocelyn Wang, Chieh-kai Shiou, Ting Chiang, Wang Chuan",Taiwan,"September 1, 2016",2009,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Years After A Wealthy Man Is Healed By A Rural Herbalist, Fate Lands Him In The Same Hospital Where The Woman'S Granddaughter Is Treating Patients."
6664,s6665,Movie,Eat Pray Love,Ryan Murphy,"Julia Roberts, James Franco, Javier Bardem, Richard Jenkins, Viola Davis, Billy Crudup, Hadi Subiyanto, Mike O'Malley, Tuva Novotny, Luca Argentero",United States,"September 10, 2019",2010,PG-13,140 min,"Dramas, Romantic Movies","After Deciding To Reshape Her Life After Divorce, Liz Travels Around The World In Search Of Good Food, Spirituality And True Love."
6665,s6666,Movie,Eddie Murphy: Delirious,Bruce Gowers,Eddie Murphy,United States,"April 15, 2018",1983,TV-MA,69 min,Stand-Up Comedy,"Flashing The Wild Stand-Up Comedy That Made Him A Household Name, Eddie Murphy Unleashes Uncensored Observations And Parodies In This 1983 Live Show."
6666,s6667,Movie,Eeda,Ajithkumar,"Shane Nigaam, Nimisha Sajayan, Manikandan R. Achari, Alencier Ley Lopez, Sujith Sankar, P. Balachandran, Sudhi Koppa",India,"September 15, 2018",2018,TV-14,153 min,"Dramas, International Movies, Romantic Movies",Two Young Adults With Families On Opposite Ends Of The Political Spectrum Fall In Love In A Kerala City Torn By Violence.
6667,s6668,Movie,Eh Janam Tumhare Lekhe,Harjit Singh,"Pavan Malhotra, Sudhanshu Aggarwal, Arjuna Bhalla, Avrinder Kaur, Arvinder Bhatti, Master Yuvraj, Jai Bharti, Gagandeep Singh",India,"December 1, 2017",2015,TV-14,124 min,"Dramas, International Movies","Driven By The Lessons He Learned From His Mother, And The Values Of The Sikh Religion, A Man Sets Out On A Mission To Serve Humanity."
6668,s6669,Movie,Ek Cup Chya,"Sumitra Bhave, Sunil Sukthankar","Kishore Kadam, Ashwini Giri, Kamal Desai, Devika Daftardar, Sunil Sukthankar, Shriram Ranade, Padmanabh Bind",India,"March 15, 2018",2009,TV-PG,120 min,"Dramas, Independent Movies, International Movies",A Poor Bus Conductor'S Efforts At Obtaining Information About His Enormous Electricity Bill Are Hindered By A Corrupt System.
6669,s6670,Movie,Ek Hasina Thi,Sriram Raghavan,"Saif Ali Khan, Urmila Matondkar, Seema Biswas, Pratima Kazmi, Aditya Srivastava, Rasika Joshi, Madan Joshi, Seema Adhikari",India,"August 1, 2019",2004,TV-MA,134 min,"Dramas, International Movies, Thrillers","Imprisoned For Underworld Crimes She Didn’T Commit, A Vengeful Woman Breaks Free And Goes Scorched Earth On The Smooth-Talking Suitor Who Framed Her."
6670,s6671,Movie,El último testigo,Philipp Stölzl,"Aaron Eckhart, Liana Liberato, Olga Kurylenko, Garrick Hagon, Eric Godon, Yassine Fadel, Neil Napier, David Bark-Jones, Alexander Fehling, Nick Alachiotis, Jade Hassouné","United States, Canada, Belgium, United Kingdom","February 4, 2018",2012,R,105 min,Action & Adventure,A Security Expert And Ex-Cia Agent Living In Belgium Must Go On The Run With His Estranged Teen Daughter When They'Re Both Marked For Assassination.
6671,s6672,TV Show,El Barco,"Raúl Campos, Jan Suter","Juanjo Artero, Mario Casas, Blanca Suárez, Irene Montalà, Luis Callejo, Neus Sanz, Juan Pablo Shuk, Ivan Massagué, Marina Salas, Bernabé Fernández, Javier Hernández, Patricia Arbúes, David Seijo, Giselle Calderón",Spain," July 1, 2017",2013,NR,3 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Forty Young Crew Members Traveling Aboard A Training Vessel Are In For The Adventure Of A Lifetime – Especially When A Storm Leaves Them Lost At Sea.
6672,s6673,TV Show,El Cartel,"Raúl Campos, Jan Suter","Manolo Cardona, Karen Martínez, Robinson Díaz, Diego Cadavid, Fernando Solórzano, Julian Arango, Sandra Reyes, Juan Pablo Raba, Fernando Arévalo",Colombia,"August 24, 2018",2008,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",One Man Makes A Fateful Decision To Get Involved With A Colombian Drug Cartel In This Series Based On A Novel By Andrés López López.
6673,s6674,TV Show,El Cartel 2,"Raúl Campos, Jan Suter","Diego Cadavid, Robinson Díaz, Patricia Manterola, Carolina Guerra, John Álex Toro, Luis Eduardo Arango, Alejandro Martínez, Juan Sebastián Aragón, Víctor Mallarino, Santiago Moure, Carlos Echavarría, John Gertz",Colombia,"August 24, 2018",2010,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Drug Trafficker Pepe Cadena Navigates The Treacherous Waters Of Warring Cartels In Mexico And Colombia While Avoiding Capture By The Dea And Police.
6674,s6675,TV Show,El Chavo,"Raúl Campos, Jan Suter","Roberto Gómez Bolaños, María Antonieta de las Nieves, Carlos Villagrán, Florinda Meza García, Angelines Fernández Abad, Rubén Aguirre Fuentes, Edgar Vivar, Ramón Gómez Valdez de Castillo",Mexico,"December 31, 2017",1979,TV-PG,1 Season,"Classic & Cult TV, Kids' TV, Spanish-Language TV Shows","El Chavo Is A Poor, Nameless Orphan Who Lives In An Apartment Building With La Chilindrina, Quico, Doña Florinda, Don Ramón And Professor Jirafales."
6675,s6676,Movie,El Che,Matías Gueilburt,Paco Ignacio Taibo II,Venezuela,"October 15, 2017",2017,TV-14,119 min,"Documentaries, International Movies","Spanish-Mexican Writer Paco Ignacio Taibo Ii Hits The Road To Trace The Footsteps Of Ernesto ""Che"" Guevara And Sheds New Light On The Revolutionary."
6676,s6677,TV Show,El Clon,"Raúl Campos, Jan Suter","Mauricio Ochmann, Sandra Echeverría, Saúl Lisazo, Roberto Moll, Geraldine Zivic, Andrea López, Juan Pablo Raba, Daniel Lugo",United States,"May 18, 2017",2010,TV-14,1 Season,"Romantic TV Shows, Spanish-Language TV Shows, TV Dramas","Religion Thwarted Lucas And Jade'S Young Love. They Reunite Decades Later, But Jade'S Heart Is Torn Between The Man She Knew And His Younger Clone."
6677,s6678,Movie,El fin de ETA,Justin Webster,Unknown,Spain,"April 8, 2017",2017,TV-14,106 min,"Documentaries, International Movies","This Documentary Chronicles The Decade-Long Process That Led To The End Of The Eta, A Basque Terrorist Group That Operated For More Than 50 Years."
6678,s6679,TV Show,El Vato,"Raúl Campos, Jan Suter","El Dasa, Cristina Rodlo, Ricardo Polanco, Gustavo Egelhaaf, Mauricio Martínez, Itatí Cantoral, Arcelia Ramírez, Horacio Castelo, Fátima Molina, Leonardo Daniel, Giancarlo Vidrio, Mónica Dionne, Sebastián Ferrat, Mauricio Isaac, Aldo Gallardo, Julio Casado, Arnulfo Reyes Sanchez, José María de Tavira, Pablo Bracho, Patricio Sebastián",United States," February 24, 2018",2017,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies","Regional Mexican Singer El Vato And His Friends Struggle To Succeed In The Enticing But Deceptive Music World In Los Angeles, California."
6680,s6681,Movie,Elephants Dream 4 Hour,Bassam Kurdali,"Cas Jansen, Tygo Gernandt",Netherlands,"August 23, 2018",2006,TV-MA,196 min,"International Movies, Sci-Fi & Fantasy","Friends Proog And Emo Live In A Capricious, Seemingly Infinite Machine With A Sinister Purpose In This Experimental Computer-Animated Short."
6681,s6682,Movie,Elizabeth at 90: A Family Tribute,John Bridcut,Unknown,United Kingdom,"May 22, 2017",2016,TV-G,90 min,Documentaries,A Blend Of The Royal Family'S Intimate Recollections And Rarely Seen Home Movies Pays Tribute To Queen Elizabeth Ii On The Eve Of Her 90Th Birthday.
6682,s6683,Movie,Elizabeth Harvest,Sebastian Gutierrez,"Abbey Lee, Ciarán Hinds, Carla Gugino, Matthew Beard, Dylan Baker",United States,"August 1, 2020",2019,R,109 min,"Dramas, Sci-Fi & Fantasy","When A Young Newlywed Enters The One Chamber In Her Husband’S Mansion That’S Off-Limits, She Faces The Horrifying Consequences Of Defying The Rules."
6683,s6684,Movie,Elles étaient en guerre (1914-1918),"Fabien Beziat, Hugues Nancy",Nathalie Baye,France,"December 31, 2017",2014,TV-14,93 min,"Documentaries, International Movies",Trace The Overlapping Journeys Of Exceptional Women Swept Up In World War I And Hear Their Tales Of Bravery On History'S Front Lines.
6686,s6687,Movie,Elstree 1976,Jon Spira,"Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose",United Kingdom,"September 6, 2016",2015,TV-PG,102 min,Documentaries,"Then And Now Footage Of Bit Players Who Appeared In ""Star Wars"" Tells The Story Of How The Film And Its Legions Of Fans Changed Their Lives Forever."
6687,s6688,Movie,Emelie,Michael Thelin,"Sarah Bolger, Joshua Rush, Carly Adams, Thomas Bair, Susan Pourfar, Chris Beetem",United States,"August 2, 2018",2016,TV-MA,82 min,"Horror Movies, Thrillers","A Suburban Couple Hires A New Sitter To Watch Their Three Kids For The Night, Unaware That The Young Woman Isn'T Who She Claims To Be."
6688,s6689,Movie,Emma' (Mother),Riri Riza,"Cut Mini Theo, Christoffer Nelwan, Arman Dewarti, Jajang C. Noer, Indah Permatasari, Dimi Cindyastira, Irmawati Jabbar, Andreuw Parinussa, Fanesa Kayla",Indonesia,"October 5, 2018",2016,TV-PG,74 min,"Dramas, International Movies","In 1950S Makassar, The Life Of A Devoted Mother Is Upended When Another Woman Enters Her Husband'S Life."
6689,s6690,Movie,Emo the Musical,Neil Triffett,"Benson Jack Anthony, Jordan Hare, Rahart Adams, Jon Prasida, Lucy Barrett, Ben Bennett, Craig Hyde-Smith, Geraldine Viswanathan, Kevin Clayette, Bridie Carter",Australia,"February 1, 2018",2016,TV-MA,94 min,"Dramas, International Movies, Music & Musicals","Expelled From Private School For Attempted Suicide, Emo Ethan Enters The World Of Seymour High And Meets A Cute Christian Who'S Ready To Convert Him."
6690,s6691,TV Show,Emogenius,"Raúl Campos, Jan Suter",Hunter March,United States,"December 15, 2018",2017,TV-PG,1 Season,Reality TV,"Two Pairs Of Contestants Go Head-To-Head For Several Rounds, Deciphering Puzzles And Messages Comprised Of Emojis For A Chance At A $10,000 Prize."
6691,s6692,Movie,Empire of Scents,Kim Nguyen,Unknown,"Canada, France, Italy, Morocco, United States","January 1, 2018",2014,TV-14,87 min,"Documentaries, International Movies",This Documentary Explores The Extent To Which Our Sense Of Smell Directs Our Survival Instincts And Enriches Our Sensual Experiences.
6692,s6693,Movie,Employee of the Month,Greg Coolidge,"Dane Cook, Jessica Simpson, Dax Shepard, Andy Dick, Tim Bagley, Brian George, Efren Ramirez, Marcello Thedford, Danny Woodburn, Harland Williams",United States,"October 1, 2020",2006,PG-13,108 min,"Comedies, Romantic Movies",Warehouse Workers Vince And Zack Compete In A Full-On War To Be Named Employee Of The Month And Win A Date With Their Dream Girl.
6694,s6695,Movie,Encounter: The Killing,Ajay Phansekar,"Naseeruddin Shah, Tara Deshpande, Akash Khurana, Ratna Pathak Shah, Dilip Prabhavalkar, Avtar Gill",India,"December 31, 2019",2002,TV-14,151 min,"Dramas, Independent Movies, International Movies","After Accidentally Killing A Young Mobster, A Guilt-Stricken Police Officer Searches For The Parents Who Never Came Forward To Claim Their Son'S Body."
6695,s6696,TV Show,Encounters with Evil,"Raúl Campos, Jan Suter",Richard Lintern,United Kingdom,"July 12, 2019",2016,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries","This Documentary Series Tries To Get At The Root Of Some Of The Most Heinous Crimes Ever Committed By Deranged, Cold-Blooded Criminals."
6696,s6697,Movie,End of Watch,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",United States,"November 23, 2019",2012,R,109 min,Action & Adventure,"Officers Taylor And Zavala Patrol The Streets Of South Central Los Angeles, An Area Of The City Ruled By Gangs And Riddled With Drug Violence."
6698,s6699,Movie,Enemy,Denis Villeneuve,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon, Isabella Rossellini, Joshua Peace, Tim Post","Canada, Spain, France","July 15, 2018",2013,R,91 min,"Independent Movies, Thrillers","When A Humdrum Academic Spots His Double In A Movie, He Launches A Search That Leads Him To A Small-Time Actor Who Looks Exactly Like Him."
6699,s6700,Movie,Enlighten Us,Jenny Carchman,James Arthur Ray,United States,"January 18, 2017",2016,TV-14,93 min,Documentaries,This Documentary Digs Deep To Recount The Saga Of The Superstar Self-Help Guru Convicted Of Negligent Homicide In The Deaths Of Three Followers.
6700,s6701,Movie,Entanglement,Jason James,"Thomas Middleditch, Jess Weixler, Diana Bang, Randal Edwards, Marilyn Norry, Johannah Newmarch, Nicole LaPlaca",Canada,"December 9, 2018",2018,TV-MA,85 min,"Dramas, Independent Movies, Romantic Movies","After His Ailing Father Makes A Shocking Confession, A Desperately Depressed Man Sets Out To Find The Woman He Believes Will Change His Destiny."
6701,s6702,Movie,Enter the Dragon,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri, Kien Shih, Robert Wall, Angela Mao, Betty Chung, Geoffrey Weeks, Bolo Yeung, Peter Archer","Hong Kong, United States","January 1, 2021",1973,R,103 min,"Action & Adventure, Classic Movies","Recruited By A British Agent, Shaolin Master Lee Infiltrates A Remote Island And A Brutal Martial Arts Tournament To Spy On A Sinister Crime Lord."
6702,s6703,Movie,Equals,Drake Doremus,"Nicholas Hoult, Kristen Stewart, Jacki Weaver, Guy Pearce, Rebecca Hazlewood, Scott Lawrence, Kai Lennox, Rizwan Manji","United States, Indonesia","October 28, 2018",2015,PG-13,102 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy",Two Young Lovers Depart From The Norm Simply By Having Romantic Feelings For Each Other In A Society Where Humans Have Been Relieved Of All Emotions.
6703,s6704,Movie,Equilibrium,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen, Sean Bean, Sean Pertwee, Matthew Harbour, William Fichtner",United States,"June 8, 2019",2002,R,107 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy","In A Dystopian Future, A Totalitarian Regime Maintains Peace By Subduing The Populace With A Drug, And Displays Of Emotion Are Punishable By Death."
6704,s6705,Movie,"Escape from the ""Liberty"" Cinema",Wojciech Marczewski,"Janusz Gajos, Zbigniew Zamachowski, Teresa Marczewska, Piotr Fronczewski, Władysław Kowalski, Michał Bajor, Jan Peszek, Jerzy Bińczycki",Poland,"October 1, 2019",1990,TV-MA,88 min,"Comedies, Dramas, Independent Movies","Artistic Rebellion Ignites At The Movies When Film Characters Suddenly Speak Freely To The Audience, Prompting A Surly Censor To Combat The Uprising."
6705,s6706,Movie,Esperando La Carroza,Alejandro Doria,"Luis Brandoni, China Zorrilla, Antonio Gasalla, Julio De Grazia, Betiana Blum, Monica Villa, Juan Manuel Tenuta, Andrea Tenuta, Cecilia Rossetto, Enrique Pinti",Argentina,"July 15, 2018",1985,NR,95 min,"Comedies, Cult Movies, International Movies",Cora Has Three Sons And A Daughter And She´S Almost 80. One Day During A Family Reunion The Big Question Comes Up: Who Will Be Her Heir?
6706,s6707,Movie,Estar o no estar,Marcelo González,"Flavio Medina, Aislinn Derbez, Patricia Reyes Spíndola, Tiaré Scanda, Angélica Aragón, Horacio Castelo, Gonzalo Garcia Vivanco, Rubén González Garza, Iliana de la Garza, Mary Paz Mata",Mexico,"January 14, 2017",2016,TV-14,100 min,"Dramas, International Movies, Romantic Movies","An Ill And Addled Man Recalls What Seems To Be A Brief But Powerful Past Romance With A Kindred Spirit, A Young Russian Woman Who Lived A Lonely Life."
6707,s6708,Movie,Ethirmarai,"Raúl Campos, Jan Suter","Ramanathan, Rakesh",India,"April 1, 2018",2018,TV-14,91 min,"International Movies, Music & Musicals, Thrillers","While Investigating A Brutal String Of Deaths, A Detective Begins To Suspect That Mind Control May Have Played A Part In The Murders."
6708,s6709,Movie,Euphoria,Valeria Golino,"Riccardo Scamarcio, Valerio Mastandrea, Isabella Ferrari, Valentina Cervi, Jasmine Trinca, Andrea Germani, Marzia Ubaldi, Iaia Forte",Italy,"November 1, 2019",2018,R,110 min,"Dramas, International Movies, LGBTQ Movies","An Entrepreneur Prone To Partying And His Estranged Brother, A Teacher Resigned To A Humdrum Life, Begin To Bond Under Fragile Circumstances."
6710,s6711,Movie,Evan Almighty,Tom Shadyac,"Steve Carell, John Goodman, Molly Shannon, Lauren Graham, Graham Phillips, Johnny Simmons, Morgan Freeman, Wanda Sykes, John Michael Higgins, Jonah Hill, Jimmy Bennett",United States,"April 16, 2019",2007,PG,96 min,"Children & Family Movies, Comedies, Faith & Spirituality","God Summons Narcissistic Evan To Build An Ark In Preparation For A Flood. Meanwhile, Evan'S Family Interprets His New Hobby As A Midlife Crisis."
6711,s6712,Movie,Event Horizon,Paul W.S. Anderson,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson, Richard T. Jones, Jack Noseworthy, Jason Isaacs, Sean Pertwee","United Kingdom, United States","January 1, 2020",1997,R,96 min,"Horror Movies, Sci-Fi & Fantasy","After A Signal Is Received From A Long-Missing Spaceship, A Rescue Ship Investigates, But The Crew Soon Realizes Something Unimaginable Has Happened."
6712,s6713,Movie,Every Time I Die,Robi Michael,"Drew Fonteiro, Marc Menchaca, Michelle Macedo, Tyler Fleming, Melissa Macedo, Kenneth Moronta, Frankie Hinton",United States,"February 25, 2020",2019,TV-MA,98 min,"Dramas, Independent Movies, Thrillers","After A Paramedic’S Violent Death During A Weekend Trip, His Spirit Inhabits His Friends’ Bodies In An Effort To Save Them From A Similar Fate."
6713,s6714,Movie,Everybody Knows,Asghar Farhadi,"Penélope Cruz, Javier Bardem, Ricardo Darín, Eduard Fernández, Bárbara Lennie, Inma Cuesta, Elvira Mínguez, Ramón Barea, Carla Campra, Sara Sálamo, Roger Casamajor, José Ángel Egido","Spain, France, Italy","June 6, 2019",2019,R,133 min,"Dramas, International Movies, Thrillers","Journeying Back To Her Small Spanish Hometown For Her Sister'S Wedding, Laura Must Grapple With Long-Buried Secrets When Her Daughter Is Abducted."
6714,s6715,TV Show,Everyday Miracles,"Raúl Campos, Jan Suter",Mark Miodownik,United Kingdom,"August 1, 2017",2014,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",Materials Scientist Mark Miodownik Takes Us Into The World Of Everyday Objects That Make Our Lives More Comfortable Than Those Of Our Ancestors.
6715,s6716,Movie,Evolution,Ivan Reitman,"David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott, Ted Levine, Ethan Suplee, Michael Bower, Pat Kilbane, Ty Burrell, Dan Aykroyd",United States,"November 20, 2019",2001,PG-13,102 min,"Comedies, Sci-Fi & Fantasy","After Two Community College Geology Professors Discover Microscopic Alien Life-Forms On A Meteorite, The Military And Government Become Involved."
6716,s6717,Movie,Ex Machina,Alex Garland,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno, Claire Selby, Symara Templeman, Gana Bayarsaikhan, Tiffany Pisani, Corey Johnson, Evie Wray, Deborah Rosan",United Kingdom,"July 26, 2018",2015,R,108 min,"Dramas, Independent Movies, International Movies","A Coder At A Tech Company Wins A Week-Long Retreat At The Compound Of His Company'S Ceo, Where He'S Tasked With Testing A New Artificial Intelligence."
6717,s6718,TV Show,Ex-Boyfriend,"Raúl Campos, Jan Suter","Tony Yang, Nana Lee, Jerry Huang, Liao Yi Chiao",China,"January 1, 2017",2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Still Haunted By The Traumatic Event That Ended Her High School Romance, A Young Professional Gets A New Subordinate: Her Former Sweetheart."
6719,s6720,Movie,Executive Decision,Stuart Baird,"Kurt Russell, Halle Berry, John Leguizamo, Oliver Platt, Steven Seagal, Joe Morton, David Suchet, BD Wong, Len Cariou, Whip Hubley",United States,"November 1, 2019",1996,R,133 min,Action & Adventure,"When Terrorists Hijack A 747 And Turn It Into A Nerve Gas Bomb Aimed At Washington, D.C., Commandos Use An Experimental Plane To Try To Stop Them."
6720,s6721,Movie,Exit Afghanistan,"Anders Sømme Hammer, Marius Arnesen, Klaus Erik Okstad, Olav Njaastad",Unknown,Norway,"July 1, 2016",2013,TV-MA,58 min,"Documentaries, International Movies","Featuring Interviews With Participants On All Sides, This Documentary Questions Norway And The West'S Protracted Military Involvement In Afghanistan."
6721,s6722,Movie,Exit Strategy,Michael Whitton,"Jameel Saleem, Kimelia Weathers, Quincy Harris, Big Boy, Kevin Hart, Misty Alli, Noelle Balfour, Sid Burston, Carlos Castillo, Liz Hernandez, Nick Sinise",United States,"March 3, 2019",2012,NR,79 min,"Comedies, Romantic Movies","When James'S Living Situation Turns Sour, He Has Little Choice But To Move In With His New Girlfriend – A Decision He Almost Immediately Regrets."
6722,s6723,Movie,Exit Wounds,Andrzej Bartkowiak,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson, Michael Jai White, Bill Duke, Jill Hennessy, Tom Arnold, Bruce McGill, David Vadim, Eva Mendes",United States,"October 1, 2019",2001,R,101 min,Action & Adventure,Maverick Cop Orin Boyd Joins Forces With An Unlikely Ally In Gangster Latrell Walker To Take Down A Group Of Dirty Detroit Cops.
6723,s6724,Movie,Expo,Joseph Mbah,"Derek Davenport, Amelia Haberman, Shepsut Wilson, Titus Covington, Hayley Vrana, Michael Alvarez, Richard Lippert, Alfoniso Lopez",United States,"August 29, 2019",2019,TV-14,81 min,"Action & Adventure, Dramas, Independent Movies","Mistakenly Accused Of Kidnapping, A Veteran Soldier Leaves A Trail Of Broken Bad Guys In His Wake As He Tries To Rescue A Teen Sex Trafficking Victim."
6724,s6725,TV Show,Extras,"Raúl Campos, Jan Suter","Ricky Gervais, Stephen Merchant, Ashley Jensen, Shaun Williamson, Shaun Pye","United Kingdom, United States","March 31, 2017",2006,TV-MA,2 Seasons,"British TV Shows, TV Comedies","Grasping Hungrily For Stardom, Bit Actor Andy Millman And His Pal Maggie Spend Their Days Chasing After Work As Film And Tv Extras."
6725,s6726,Movie,Eyyvah Eyyvah,Hakan Algül,"Demet Akbağ, Ata Demirer, Özge Borak, Bican Günalan, Salih Kalyon, Tanju Tuncel, Meray Ülgen",Turkey,"March 10, 2017",2010,TV-MA,99 min,"Comedies, International Movies","A Clarinet Player Who Lives With His Grandparents In A Small Village Is Forced To Move To Istanbul, Where He Meets A Singer Enjoying Sudden Fame."
6726,s6727,Movie,Eyyvah Eyyvah 2,Hakan Algül,"Demet Akbağ, Ata Demirer, Özge Borak, Salih Kalyon, Tanju Tuncel, Meray Ülgen, Bican Günalan, Tarık Ünlüoğlu, Ayşenil Şamlıoğlu",Turkey,"March 10, 2017",2011,TV-PG,106 min,"Comedies, International Movies, Romantic Movies","Hüseyin Has Found His Father, And Now Has One More Mission – To Get Together With The Girl Of His Dreams, With A Little Help From His New Friend."
